x 	 y 	 b 	 n 	 func
 0.200000 	 0.381818 	 1.000000 	 1.000000 	 0.632976
 0.200000 	 0.381818 	 1.000000 	 7.000000 	 0.545587
 0.200000 	 0.381818 	 1.000000 	 19.000000 	 0.541951
 0.200000 	 0.381818 	 1.100000 	 1.000000 	 0.637807
 0.200000 	 0.381818 	 1.100000 	 7.000000 	 0.576829
 0.200000 	 0.381818 	 1.100000 	 19.000000 	 0.573325
 0.200000 	 0.472727 	 0.100000 	 1.000000 	 0.001797
 0.200000 	 0.472727 	 0.100000 	 7.000000 	 0.001797
 0.200000 	 0.472727 	 0.100000 	 19.000000 	 0.001797
 0.200000 	 0.472727 	 0.200000 	 1.000000 	 0.050049
 0.200000 	 0.472727 	 0.200000 	 7.000000 	 0.050020
 0.200000 	 0.472727 	 0.200000 	 19.000000 	 0.050020
 0.200000 	 0.472727 	 0.300000 	 1.000000 	 -0.152373
 0.200000 	 0.472727 	 0.300000 	 7.000000 	 -0.150589
 0.200000 	 0.472727 	 0.300000 	 19.000000 	 -0.150589
 0.200000 	 0.472727 	 0.400000 	 1.000000 	 -0.143097
 0.200000 	 0.472727 	 0.400000 	 7.000000 	 -0.154542
 0.200000 	 0.472727 	 0.400000 	 19.000000 	 -0.154541
 0.200000 	 0.472727 	 0.500000 	 1.000000 	 0.061793
 0.200000 	 0.472727 	 0.500000 	 7.000000 	 0.078204
 0.200000 	 0.472727 	 0.500000 	 19.000000 	 0.078221
 0.200000 	 0.472727 	 0.600000 	 1.000000 	 0.276197
 0.200000 	 0.472727 	 0.600000 	 7.000000 	 0.324130
 0.200000 	 0.472727 	 0.600000 	 19.000000 	 0.324113
 0.200000 	 0.472727 	 0.700000 	 1.000000 	 0.442163
 0.200000 	 0.472727 	 0.700000 	 7.000000 	 0.437732
 0.200000 	 0.472727 	 0.700000 	 19.000000 	 0.437771
 0.200000 	 0.472727 	 0.800000 	 1.000000 	 0.557003
 0.200000 	 0.472727 	 0.800000 	 7.000000 	 0.483713
 0.200000 	 0.472727 	 0.800000 	 19.000000 	 0.482991
 0.200000 	 0.472727 	 0.900000 	 1.000000 	 0.631462
 0.200000 	 0.472727 	 0.900000 	 7.000000 	 0.506723
 0.200000 	 0.472727 	 0.900000 	 19.000000 	 0.508204
 0.200000 	 0.472727 	 1.000000 	 1.000000 	 0.676766
 0.200000 	 0.472727 	 1.000000 	 7.000000 	 0.526917
 0.200000 	 0.472727 	 1.000000 	 19.000000 	 0.529502
 0.200000 	 0.472727 	 1.100000 	 1.000000 	 0.701744
 0.200000 	 0.472727 	 1.100000 	 7.000000 	 0.553141
 0.200000 	 0.472727 	 1.100000 	 19.000000 	 0.551387
 0.200000 	 0.563636 	 0.100000 	 1.000000 	 -0.002163
 0.200000 	 0.563636 	 0.100000 	 7.000000 	 -0.002163
 0.200000 	 0.563636 	 0.100000 	 19.000000 	 -0.002163
 0.200000 	 0.563636 	 0.200000 	 1.000000 	 0.029747
 0.200000 	 0.563636 	 0.200000 	 7.000000 	 0.029849
 0.200000 	 0.563636 	 0.200000 	 19.000000 	 0.029849
 0.200000 	 0.563636 	 0.300000 	 1.000000 	 -0.058274
 0.200000 	 0.563636 	 0.300000 	 7.000000 	 -0.060471
 0.200000 	 0.563636 	 0.300000 	 19.000000 	 -0.060471
