x 	 y 	 b 	 n 	 func
 0.200000 	 0.060000 	 1.385000 	 1.000000 	 0.109748
 0.200000 	 0.060000 	 1.385000 	 7.000000 	 0.175728
 0.200000 	 0.060000 	 1.385000 	 19.000000 	 0.179136
 0.200000 	 0.060000 	 1.440000 	 1.000000 	 0.107426
 0.200000 	 0.060000 	 1.440000 	 7.000000 	 0.175593
 0.200000 	 0.060000 	 1.440000 	 19.000000 	 0.179605
 0.200000 	 0.060000 	 1.495000 	 1.000000 	 0.105170
 0.200000 	 0.060000 	 1.495000 	 7.000000 	 0.175360
 0.200000 	 0.060000 	 1.495000 	 19.000000 	 0.180024
 0.200000 	 0.060000 	 1.550000 	 1.000000 	 0.102982
 0.200000 	 0.060000 	 1.550000 	 7.000000 	 0.175041
 0.200000 	 0.060000 	 1.550000 	 19.000000 	 0.180398
 0.200000 	 0.060000 	 1.605000 	 1.000000 	 0.100861
 0.200000 	 0.060000 	 1.605000 	 7.000000 	 0.174642
 0.200000 	 0.060000 	 1.605000 	 19.000000 	 0.180734
 0.200000 	 0.060000 	 1.660000 	 1.000000 	 0.098807
 0.200000 	 0.060000 	 1.660000 	 7.000000 	 0.174172
 0.200000 	 0.060000 	 1.660000 	 19.000000 	 0.181035
 0.200000 	 0.060000 	 1.715000 	 1.000000 	 0.096819
 0.200000 	 0.060000 	 1.715000 	 7.000000 	 0.173637
 0.200000 	 0.060000 	 1.715000 	 19.000000 	 0.181305
 0.200000 	 0.060000 	 1.770000 	 1.000000 	 0.094896
 0.200000 	 0.060000 	 1.770000 	 7.000000 	 0.173045
 0.200000 	 0.060000 	 1.770000 	 19.000000 	 0.181548
 0.200000 	 0.060000 	 1.825000 	 1.000000 	 0.093037
 0.200000 	 0.060000 	 1.825000 	 7.000000 	 0.172399
 0.200000 	 0.060000 	 1.825000 	 19.000000 	 0.181765
 0.200000 	 0.060000 	 1.880000 	 1.000000 	 0.091239
 0.200000 	 0.060000 	 1.880000 	 7.000000 	 0.171706
 0.200000 	 0.060000 	 1.880000 	 19.000000 	 0.181958
 0.200000 	 0.060000 	 1.935000 	 1.000000 	 0.089500
 0.200000 	 0.060000 	 1.935000 	 7.000000 	 0.170971
 0.200000 	 0.060000 	 1.935000 	 19.000000 	 0.182130
 0.200000 	 0.060000 	 1.990000 	 1.000000 	 0.087818
 0.200000 	 0.060000 	 1.990000 	 7.000000 	 0.170198
 0.200000 	 0.060000 	 1.990000 	 19.000000 	 0.182282
 0.200000 	 0.060000 	 2.045000 	 1.000000 	 0.086192
 0.200000 	 0.060000 	 2.045000 	 7.000000 	 0.169390
 0.200000 	 0.060000 	 2.045000 	 19.000000 	 0.182415
 0.200000 	 0.110000 	 1.000000 	 1.000000 	 0.230090
 0.200000 	 0.110000 	 1.000000 	 7.000000 	 0.297906
 0.200000 	 0.110000 	 1.000000 	 19.000000 	 0.297817
 0.200000 	 0.110000 	 1.055000 	 1.000000 	 0.225817
 0.200000 	 0.110000 	 1.055000 	 7.000000 	 0.300012
 0.200000 	 0.110000 	 1.055000 	 19.000000 	 0.300015
 0.200000 	 0.110000 	 1.110000 	 1.000000 	 0.221441
 0.200000 	 0.110000 	 1.110000 	 7.000000 	 0.301753
 0.200000 	 0.110000 	 1.110000 	 19.000000 	 0.301906
 0.200000 	 0.110000 	 1.165000 	 1.000000 	 0.217026
 0.200000 	 0.110000 	 1.165000 	 7.000000 	 0.303173
 0.200000 	 0.110000 	 1.165000 	 19.000000 	 0.303545
 0.200000 	 0.110000 	 1.220000 	 1.000000 	 0.212619
 0.200000 	 0.110000 	 1.220000 	 7.000000 	 0.304308
 0.200000 	 0.110000 	 1.220000 	 19.000000 	 0.304974
 0.200000 	 0.110000 	 1.275000 	 1.000000 	 0.208253
 0.200000 	 0.110000 	 1.275000 	 7.000000 	 0.305188
 0.200000 	 0.110000 	 1.275000 	 19.000000 	 0.306228
 0.200000 	 0.110000 	 1.330000 	 1.000000 	 0.203955
 0.200000 	 0.110000 	 1.330000 	 7.000000 	 0.305835
 0.200000 	 0.110000 	 1.330000 	 19.000000 	 0.307334
 0.200000 	 0.110000 	 1.385000 	 1.000000 	 0.199740
 0.200000 	 0.110000 	 1.385000 	 7.000000 	 0.306271
 0.200000 	 0.110000 	 1.385000 	 19.000000 	 0.308315
 0.200000 	 0.110000 	 1.440000 	 1.000000 	 0.195622
 0.200000 	 0.110000 	 1.440000 	 7.000000 	 0.306513
 0.200000 	 0.110000 	 1.440000 	 19.000000 	 0.309189
 0.200000 	 0.110000 	 1.495000 	 1.000000 	 0.191607
 0.200000 	 0.110000 	 1.495000 	 7.000000 	 0.306576
 0.200000 	 0.110000 	 1.495000 	 19.000000 	 0.309972
 0.200000 	 0.110000 	 1.550000 	 1.000000 	 0.187702
 0.200000 	 0.110000 	 1.550000 	 7.000000 	 0.306476
 0.200000 	 0.110000 	 1.550000 	 19.000000 	 0.310677
 0.200000 	 0.110000 	 1.605000 	 1.000000 	 0.183908
 0.200000 	 0.110000 	 1.605000 	 7.000000 	 0.306225
 0.200000 	 0.110000 	 1.605000 	 19.000000 	 0.311313
 0.200000 	 0.110000 	 1.660000 	 1.000000 	 0.180227
 0.200000 	 0.110000 	 1.660000 	 7.000000 	 0.305835
 0.200000 	 0.110000 	 1.660000 	 19.000000 	 0.311890
 0.200000 	 0.110000 	 1.715000 	 1.000000 	 0.176659
 0.200000 	 0.110000 	 1.715000 	 7.000000 	 0.305317
 0.200000 	 0.110000 	 1.715000 	 19.000000 	 0.312416
 0.200000 	 0.110000 	 1.770000 	 1.000000 	 0.173201
 0.200000 	 0.110000 	 1.770000 	 7.000000 	 0.304682
 0.200000 	 0.110000 	 1.770000 	 19.000000 	 0.312896
 0.200000 	 0.110000 	 1.825000 	 1.000000 	 0.169852
 0.200000 	 0.110000 	 1.825000 	 7.000000 	 0.303938
 0.200000 	 0.110000 	 1.825000 	 19.000000 	 0.313336
 0.200000 	 0.110000 	 1.880000 	 1.000000 	 0.166610
