x 	 y 	 b 	 n 	 func
 0.200000 	 0.381818 	 1.900000 	 1.000000 	 0.539885
 0.200000 	 0.381818 	 1.900000 	 7.000000 	 0.863497
 0.200000 	 0.381818 	 1.900000 	 19.000000 	 0.857444
 0.200000 	 0.381818 	 2.000000 	 1.000000 	 0.524920
 0.200000 	 0.381818 	 2.000000 	 7.000000 	 0.922873
 0.200000 	 0.381818 	 2.000000 	 19.000000 	 0.895880
 0.200000 	 0.472727 	 1.000000 	 1.000000 	 0.676766
 0.200000 	 0.472727 	 1.000000 	 7.000000 	 0.526917
 0.200000 	 0.472727 	 1.000000 	 19.000000 	 0.529502
 0.200000 	 0.472727 	 1.100000 	 1.000000 	 0.701744
 0.200000 	 0.472727 	 1.100000 	 7.000000 	 0.553141
 0.200000 	 0.472727 	 1.100000 	 19.000000 	 0.551387
 0.200000 	 0.472727 	 1.200000 	 1.000000 	 0.712765
 0.200000 	 0.472727 	 1.200000 	 7.000000 	 0.583331
 0.200000 	 0.472727 	 1.200000 	 19.000000 	 0.574904
 0.200000 	 0.472727 	 1.300000 	 1.000000 	 0.714285
 0.200000 	 0.472727 	 1.300000 	 7.000000 	 0.611491
 0.200000 	 0.472727 	 1.300000 	 19.000000 	 0.600194
 0.200000 	 0.472727 	 1.400000 	 1.000000 	 0.709393
 0.200000 	 0.472727 	 1.400000 	 7.000000 	 0.633868
 0.200000 	 0.472727 	 1.400000 	 19.000000 	 0.626973
 0.200000 	 0.472727 	 1.500000 	 1.000000 	 0.700221
 0.200000 	 0.472727 	 1.500000 	 7.000000 	 0.650555
 0.200000 	 0.472727 	 1.500000 	 19.000000 	 0.654859
 0.200000 	 0.472727 	 1.600000 	 1.000000 	 0.688251
 0.200000 	 0.472727 	 1.600000 	 7.000000 	 0.664291
 0.200000 	 0.472727 	 1.600000 	 19.000000 	 0.683860
 0.200000 	 0.472727 	 1.700000 	 1.000000 	 0.674511
 0.200000 	 0.472727 	 1.700000 	 7.000000 	 0.678708
 0.200000 	 0.472727 	 1.700000 	 19.000000 	 0.714141
 0.200000 	 0.472727 	 1.800000 	 1.000000 	 0.659719
 0.200000 	 0.472727 	 1.800000 	 7.000000 	 0.697072
 0.200000 	 0.472727 	 1.800000 	 19.000000 	 0.745478
 0.200000 	 0.472727 	 1.900000 	 1.000000 	 0.644375
 0.200000 	 0.472727 	 1.900000 	 7.000000 	 0.721677
 0.200000 	 0.472727 	 1.900000 	 19.000000 	 0.777217
 0.200000 	 0.472727 	 2.000000 	 1.000000 	 0.628828
 0.200000 	 0.472727 	 2.000000 	 7.000000 	 0.753733
 0.200000 	 0.472727 	 2.000000 	 19.000000 	 0.808703
 0.200000 	 0.563636 	 1.000000 	 1.000000 	 0.665729
 0.200000 	 0.563636 	 1.000000 	 7.000000 	 0.533223
 0.200000 	 0.563636 	 1.000000 	 19.000000 	 0.532730
 0.200000 	 0.563636 	 1.100000 	 1.000000 	 0.718641
 0.200000 	 0.563636 	 1.100000 	 7.000000 	 0.540078
 0.200000 	 0.563636 	 1.100000 	 19.000000 	 0.545418
 0.200000 	 0.563636 	 1.200000 	 1.000000 	 0.750833
 0.200000 	 0.563636 	 1.200000 	 7.000000 	 0.553809
 0.200000 	 0.563636 	 1.200000 	 19.000000 	 0.559689
 0.200000 	 0.563636 	 1.300000 	 1.000000 	 0.768206
 0.200000 	 0.563636 	 1.300000 	 7.000000 	 0.578613
 0.200000 	 0.563636 	 1.300000 	 19.000000 	 0.576297
 0.200000 	 0.563636 	 1.400000 	 1.000000 	 0.775070
 0.200000 	 0.563636 	 1.400000 	 7.000000 	 0.609109
 0.200000 	 0.563636 	 1.400000 	 19.000000 	 0.595013
 0.200000 	 0.563636 	 1.500000 	 1.000000 	 0.774525
 0.200000 	 0.563636 	 1.500000 	 7.000000 	 0.637424
 0.200000 	 0.563636 	 1.500000 	 19.000000 	 0.615796
 0.200000 	 0.563636 	 1.600000 	 1.000000 	 0.768794
 0.200000 	 0.563636 	 1.600000 	 7.000000 	 0.658431
 0.200000 	 0.563636 	 1.600000 	 19.000000 	 0.638276
 0.200000 	 0.563636 	 1.700000 	 1.000000 	 0.759474
 0.200000 	 0.563636 	 1.700000 	 7.000000 	 0.671078
 0.200000 	 0.563636 	 1.700000 	 19.000000 	 0.661632
 0.200000 	 0.563636 	 1.800000 	 1.000000 	 0.747710
 0.200000 	 0.563636 	 1.800000 	 7.000000 	 0.677402
 0.200000 	 0.563636 	 1.800000 	 19.000000 	 0.685581
